rank,domain,ip,ping_ms,dns_ms,tcp_handshake_ms,tcp_transfer_ms,total_ms,url
879,freewebnovel.com,104.26.11.249,173.952,50.346000000000004,236.77100000000002,514.2230000000001,801.34,https://freewebnovel.com
880,publi24.ro,172.66.152.90,237.775,18.307,243.698,503.97700000000015,765.9820000000001,https://publi24.ro
881,goojara.to,104.21.33.208,186.767,81.44,543.768,1316.311,1941.519,https://goojara.to
882,kingbokep.tv,84.17.37.214,131.635,41.704,189.067,455.244,686.015,https://kingbokep.tv
883,mechacomic.jp,13.196.73.151,,36.401,123.802,1565.157,1725.36,https://mechacomic.jp
884,colliderporn.com,88.208.55.161,165.548,12.407,252.21899999999997,1298.785,1563.411,https://colliderporn.com
885,fabswingers.com,172.66.173.215,175.477,60.91,398.556,2111.228,2570.694,https://fabswingers.com
886,tiktokio.com,172.67.71.154,180.683,11.56,182.012,631.301,824.8729999999999,https://tiktokio.com
887,arabxn.sex,104.26.8.167,235.848,8.622,183.02700000000002,894.698,1086.347,https://arabxn.sex
888,letras.mus.br,67.213.118.69,374.003,410.64099999999996,331.315,1038.947,1780.9029999999998,https://letras.mus.br
889,ss.com,194.105.56.170,150.05,182.201,542.95,1620.384,2345.535,https://ss.com
890,sexnyk.com,172.67.146.83,182.906,208.887,505.9020000000001,1585.9730000000002,2300.762,https://sexnyk.com
891,nustargame.com,172.65.90.31,186.7,13.613999999999999,199.137,924.43,1137.181,https://nustargame.com
892,lecturas.com,20.50.2.27,222.0,619.939,479.8519999999999,1271.5829999999999,2371.374,https://lecturas.com
893,googll.store,172.67.206.52,180.611,59.109,250.444,719.586,1029.1390000000001,https://googll.store
894,xvideos-ar.com,104.18.36.132,182.707,87.533,423.05500000000006,1946.7510000000002,2457.339,https://xvideos-ar.com
895,ptgaming.ph,172.65.90.29,198.39,25.891000000000002,414.008,1933.758,2373.657,https://ptgaming.ph
896,arabtnt.com,104.21.38.14,176.955,61.606,769.607,2027.043,2858.256,https://arabtnt.com
897,turbo.az,104.18.31.213,213.579,14.822999999999999,197.77999999999997,405.96900000000005,618.572,https://turbo.az
898,taktube.net,178.32.127.113,,61.466,325.60299999999995,1234.3829999999998,1621.452,https://taktube.net
899,alphapolis.co.jp,65.9.170.95,79.536,127.67200000000001,401.705,1028.529,1557.906,https://alphapolis.co.jp
900,notion.com,208.103.161.16,,21.613,388.108,1834.0189999999998,2243.74,https://notion.com
901,kir2kos.net,104.26.1.123,229.536,38.012,177.52900000000002,1038.683,1254.224,https://kir2kos.net
902,an1.com,172.234.85.52,246.168,26.901,315.954,713.2169999999999,1056.072,https://an1.com
903,afribaba.com,172.66.152.129,161.432,25.410999999999998,231.49700000000004,469.33899999999994,726.247,https://afribaba.com
904,flashscore.mobi,188.92.44.100,216.544,1101.799,429.79999999999995,1528.3640000000003,3059.963,https://flashscore.mobi
905,skipthegames.com,104.20.34.147,208.796,10.333,195.14,480.28700000000003,685.76,https://skipthegames.com
906,flashscore.fr,35.244.152.241,177.084,719.979,560.0070000000001,1791.8509999999999,3071.837,https://flashscore.fr
907,darkero.com,172.67.174.168,192.419,55.827,256.812,852.2420000000001,1164.881,https://darkero.com
908,eff.org,173.239.79.200,167.154,40.078,307.618,1124.5620000000001,1472.258,https://eff.org
909,vanityfair.it,32.196.154.198,,63.747,250.557,469.9390000000001,784.243,https://vanityfair.it
910,acm.org,104.17.78.30,186.686,54.114000000000004,216.19900000000004,456.156,726.469,https://acm.org
911,bakusai.com,140.245.94.78,,10.729000000000001,114.856,715.902,841.487,https://bakusai.com
912,xosodaiphat.com,104.18.20.76,151.02,30.919999999999998,176.304,797.167,1004.3910000000001,https://xosodaiphat.com
913,zebawy.com,104.26.11.8,220.943,16.148,181.241,598.8879999999999,796.277,https://zebawy.com
914,betking.com,104.18.36.145,197.491,38.205000000000005,200.55299999999997,674.725,913.4830000000001,https://betking.com
915,sportfilm800.com,172.67.130.37,188.213,9.66,260.24399999999997,723.5910000000001,993.495,https://sportfilm800.com
916,keirin.jp,3.165.39.50,87.323,39.486,93.61800000000001,732.063,865.167,https://keirin.jp
917,escort.club,84.247.152.86,,796.264,662.228,5095.954000000001,6554.446000000001,https://escort.club
918,xhpro.live,185.251.3.34,226.839,9.613,179.63,8730.961000000001,8920.204,https://xhpro.live
919,humoruniv.com,1.201.65.121,,125.53900000000002,114.99599999999998,241.766,482.301,https://humoruniv.com
920,eepurl.com,23.208.98.124,391.965,15.738999999999999,412.332,844.478,1272.549,https://eepurl.com
921,hh.ru,94.124.200.0,252.67,182.018,214.119,2451.54,2847.677,https://hh.ru
922,ecnavi.jp,108.156.144.121,79.083,46.284,88.115,183.52,317.919,https://ecnavi.jp
923,stackexchange.com,198.252.206.1,,64.24000000000001,225.86299999999997,459.503,749.606,https://stackexchange.com
924,arionplay.com,172.66.164.198,163.417,7.752,205.35899999999998,427.12100000000004,640.232,https://arionplay.com
925,digitallocker.gov.in,65.1.255.75,,16.36,212.48499999999999,427.60600000000005,656.451,https://digitallocker.gov.in
926,33apk.com,45.133.44.2,154.449,121.436,182.32399999999998,380.496,684.256,https://33apk.com
927,twilio.com,44.199.52.48,,670.111,286.44800000000004,1203.345,2159.904,https://twilio.com
928,indown.io,172.67.69.137,170.798,9.26,182.982,385.51899999999995,577.761,https://indown.io
929,betano.pe,104.18.35.221,185.328,106.627,411.02099999999996,841.6499999999999,1359.298,https://betano.pe
930,twkan.com,104.26.2.116,180.518,8.021,251.49899999999997,526.856,786.376,https://twkan.com
931,choiceadvantage.com,23.222.130.196,224.753,144.104,360.611,801.0869999999999,1305.802,https://choiceadvantage.com
932,footmercato.net,15.235.203.194,219.637,509.641,417.4,1641.2420000000002,2568.283,https://footmercato.net
933,sarkariresult.com.cm,104.26.14.182,174.623,15.582,193.077,741.255,949.914,https://sarkariresult.com.cm
934,kemkes.go.id,104.18.27.173,182.398,58.092,189.385,476.22,723.697,https://kemkes.go.id
935,manhwaweb.com,104.21.10.86,218.197,8.16,278.87,518.9,805.9300000000001,https://manhwaweb.com
936,overwolf.com,3.175.214.34,286.302,99.941,510.26900000000006,1415.6599999999999,2025.87,https://overwolf.com
937,animanch.com,104.26.10.183,183.392,297.181,191.803,396.06700000000006,885.051,https://animanch.com
938,betpawa.ug,31.185.108.11,189.641,136.68,420.733,1112.578,1669.991,https://betpawa.ug
939,livescore.cz,188.92.44.99,215.317,382.768,457.7830000000001,1634.12,2474.671,https://livescore.cz
940,tjsp.jus.br,201.55.22.16,,588.8879999999999,721.2550000000001,3025.9049999999997,4336.048,https://tjsp.jus.br
941,goal7.co,104.20.17.61,257.08,10.248999999999999,214.214,1363.341,1587.804,https://goal7.co
942,ojogodobicho.com,172.66.150.77,184.743,24.715999999999998,209.157,442.7219999999999,676.5949999999999,https://ojogodobicho.com
943,pornobrasil.com,104.21.11.64,194.272,34.95,234.222,1172.5520000000001,1441.724,https://pornobrasil.com
944,fabguys.com,104.20.39.207,188.472,104.495,407.832,2105.806,2618.133,https://fabguys.com
945,akismet.com,192.0.78.24,90.329,10.104000000000001,100.987,977.0859999999999,1088.177,https://akismet.com
946,minhngoc.net.vn,118.69.171.151,,342.76,596.7579999999999,3094.7780000000002,4034.2960000000003,https://minhngoc.net.vn
947,espn.com.ve,65.8.76.67,99.953,472.498,453.3740000000001,3353.969,4279.841,http://espn.com.ve
948,packzy.com,52.76.217.40,,119.37,86.46999999999998,291.472,497.31199999999995,https://packzy.com
949,mobiledokan.com,103.252.47.7,,27.546999999999997,473.91099999999994,1715.28,2216.738,https://mobiledokan.com
950,abola.pt,104.18.24.146,156.217,222.365,342.468,3675.606,4240.439,https://abola.pt
951,koselarab.com,104.26.0.41,165.115,13.359,254.29000000000002,504.124,771.773,https://koselarab.com
952,dord.gov.in,164.100.11.194,,110.474,708.1129999999999,1642.567,2461.154,https://dord.gov.in
953,hover.com,64.99.80.28,257.515,133.947,550.083,1791.7559999999999,2475.7859999999996,https://hover.com
954,thscore99.com,8.218.139.243,51.566,241.763,115.91299999999998,302.97300000000007,660.649,https://thscore99.com
955,linkmake.in,172.67.164.36,195.881,32.742,268.062,611.1759999999999,911.98,https://linkmake.in
956,ftc.gov,104.115.224.244,396.879,41.08,445.31100000000004,1558.6019999999999,2044.993,https://ftc.gov
957,az24.vn,172.67.71.26,171.242,51.195,238.44700000000003,559.6190000000001,849.2610000000001,https://az24.vn
958,tamildhool.tech,104.26.6.225,166.855,71.465,189.931,394.28099999999995,655.6769999999999,https://tamildhool.tech
959,pagibigfundservices.com,113.19.118.9,,16.84,658.825,1330.3400000000001,2006.005,https://pagibigfundservices.com
960,albumaty.com,104.21.43.196,185.868,89.99,501.203,1199.2090000000003,1790.402,https://albumaty.com
961,xahani.com,104.26.4.242,174.537,10.147,186.424,388.944,585.515,https://xahani.com
962,sattamatkadpboss.mobi,172.67.74.2,175.538,525.871,609.6550000000001,2592.218,3727.744,https://sattamatkadpboss.mobi
963,dpbossss.boston,172.67.177.248,182.593,1250.4930000000002,482.18899999999996,2239.7599999999998,3972.442,https://dpbossss.boston
964,scan-manga.com,104.26.2.139,180.366,11.257,176.657,366.97599999999994,554.89,https://scan-manga.com
965,dns-shop.ru,185.65.148.196,172.159,10.014999999999999,119.266,246.808,376.089,https://dns-shop.ru
966,tamilsexzone.com,104.26.4.183,213.403,11.808000000000002,176.90699999999998,371.239,559.954,https://tamilsexzone.com
967,xxxhindi.to,104.26.1.104,169.214,209.824,423.72900000000004,1352.9609999999998,1986.514,https://xxxhindi.to
968,loteriadehoy.com,104.21.62.19,179.862,11.722,324.304,1021.2780000000001,1357.304,https://loteriadehoy.com
969,satta-king-fast.com,104.21.73.149,185.496,47.294999999999995,276.596,577.7939999999999,901.685,https://satta-king-fast.com
970,vnsextop1.com,104.18.30.167,191.351,17.194999999999997,207.335,445.55999999999995,670.0899999999999,https://vnsextop1.com
971,javwow.com,104.26.10.174,174.055,47.673,326.33799999999997,528.726,902.737,https://javwow.com
972,freesexkahani.com,104.26.15.68,184.911,20.412,184.50699999999998,382.93100000000004,587.85,https://freesexkahani.com
973,cbl.gov.ly,104.18.22.187,178.087,24.84,172.816,1987.634,2185.29,https://cbl.gov.ly
974,filmyfly.soy,172.67.223.226,191.154,200.06799999999998,637.162,1281.561,2118.7909999999997,https://filmyfly.soy
975,antarvasna3.com,172.67.69.155,213.73,63.50699999999999,206.87,428.83000000000004,699.207,https://antarvasna3.com
976,javsub.blog,104.18.16.225,145.861,21.422,164.685,344.24100000000004,530.3480000000001,https://javsub.blog
977,newtoki1.org,109.61.83.245,65.398,12.818,69.421,362.77,445.009,https://newtoki1.org
978,smadex.com,3.169.5.106,,55.591,85.442,1280.7410000000002,1421.7740000000001,https://smadex.com
979,staseraintv.com,37.9.239.26,162.152,210.011,165.893,798.886,1174.79,https://staseraintv.com
980,desitelugusex.com,172.67.151.224,204.736,,,,,
981,bpexch.live,104.18.30.68,168.338,20.57,185.5,1139.541,1345.6109999999999,https://bpexch.live
982,xn--12c1ezaww.com,172.67.139.131,190.5,12.692,229.32899999999998,930.7669999999999,1172.788,https://xn--12c1ezaww.com
983,sexvid1.com,213.174.152.198,202.642,66.08200000000001,508.081,1723.3990000000001,2297.562,https://sexvid1.com
984,xn--42cf7cgd7gxbd4m7c.cc,172.67.72.146,177.837,78.363,366.49199999999996,1019.045,1463.9,https://xn--42cf7cgd7gxbd4m7c.cc
985,sambad.com,104.26.2.204,210.581,11.19,248.95999999999998,782.652,1042.802,https://sambad.com
986,sexmupxinh.net,172.67.142.85,185.916,54.493,305.702,730.113,1090.308,https://sexmupxinh.net
987,mobcup.fm,172.67.71.220,210.545,25.211000000000002,189.92299999999997,461.281,676.415,https://mobcup.fm
988,rsch.jp,104.155.197.197,232.782,10.307,205.26,626.7750000000001,842.342,https://rsch.jp
989,mangaraw.ac,94.242.50.51,160.024,871.279,227.09499999999994,1416.429,2514.8030000000003,https://mangaraw.ac
990,xxxvideosind.com,104.21.30.119,169.096,93.129,464.22299999999996,1532.2020000000002,2089.554,https://xxxvideosind.com
991,xvideo.vlog.br,172.67.204.58,190.899,12.984,258.134,1067.2440000000001,1338.362,https://xvideo.vlog.br
992,ad-contents.jp,211.14.18.85,75.613,51.644000000000005,84.393,265.61500000000007,401.652,https://ad-contents.jp
993,playinboss.com,104.18.4.105,199.771,17.821,209.785,1540.87,1768.4759999999999,https://playinboss.com
994,sattamatkano1.me,104.26.0.73,163.171,9.227,236.476,1181.9740000000002,1427.6770000000001,https://sattamatkano1.me
995,kolkataff.tv,172.67.152.66,204.418,32.998,425.67299999999994,1844.494,2303.165,https://kolkataff.tv
996,themoviedb.org,54.239.163.101,58.682,109.144,182.51599999999996,1463.57,1755.23,https://themoviedb.org
997,rustore.ru,95.163.61.31,148.737,42.683,323.614,2855.945,3222.242,https://rustore.ru
998,deped.gov.ph,52.148.72.153,1396.35,15.379,96.801,177.963,290.143,https://deped.gov.ph
999,gartner.com,99.83.168.174,92.555,108.28,144.816,902.064,1155.1599999999999,https://gartner.com
1000,prokerala.com,104.26.15.242,173.136,366.33700000000005,346.2609999999999,1629.6120000000003,2342.21,https://prokerala.com
